"page","index","type","author","comment","target_text","rect"
"1","1","Highlight","Liang","","conditional second moments; the fixed-family and statewise variants are formalized in Lean. The main contribution is a proof and certification framework for approximate","(232.6, 351.6, 543.2, 379.77)"
"1","2","Text","Liang","这样表达对么？","conditional second moments; the fixed-family and statewise variants are formalized in Lean. The main contribution is a proof and certification framework for approximate","(540.63, 346.14, 564.63, 370.14)"
"1","3","Highlight","Liang","","explicit claim boundaries. Comparisons to external schedulers are reported as policy- semantics diagnostics on the same measured service cache and adapter audits; they are not used as direct full-stack superiority claims.","(232.6, 459.69, 543.2, 503.31)"
"1","4","Text","Liang","这一看就是你思维过程、中间过程的残留痕迹，痕迹太重，全文类似要清理赶紧。 摘要里面需要强化理论模型算法和实验的比较锋利的贡献和结果、结论。现在看比较平淡。 整个文章做如下梳理、清理 请深度地、系统地、全局地、前后综合对比分析地扫描全文的数学符号、公式、证明过程、推导过程，包括数值实验结果，主文里面的内容和附录里面的内容，有没有重复的内容，有没有没有对齐、不一致的内容，请严格扫描、核验和修正。 请进一步polish论文的表达和用词，避免晦涩难懂、思维的跳跃（特别是证明部分），让科研小白、科研新手也能读懂，切忌用一些生僻词汇、简称或审计用词、实验过程为了方便记录的用词、拼凑的痕迹等等，请采用平铺直叙、比较接地气的叙述方式和叙事形式，采用主流文献当中的专业术语。特别是，清理偏内部记录式、晦涩或跳跃的词、缩写和简称。","explicit claim boundaries. Comparisons to external schedulers are reported as policy- semantics diagnostics on the same measured service cache and adapter audits; they are not used as direct full-stack superiority claims.","(549.07, 461.87, 573.07, 485.87)"
"1","5","Text","Liang","请深度地、系统地、全局地、前后综合对比分析地扫描全文的数学符号、公式、证明过程、推导过程，包括数值实验结果，主文里面的内容和附录里面的内容，有没有重复的内容，有没有没有对齐、不一致的内容，请严格扫描、核验和修正。 全文系统手术式扫描，验证每个符号、每个公式和每个定理的数学涵义是否正确？保证每个符号、每个公式和每个定理及其定理证明过程的逻辑正确和数学层面的绝对正确性。避免为了理论自洽而故意跳跃、简化等问题。 框架、模型、理论与算法部分，不要干瘪瘪的给一堆记流水账式的符号、公式与定理等，你需要清晰、关键鲜明地给出我们为什么要这么？与前前后后内容的关联和链接，最后需要分析各部分的特征与特性，并在相应的部分进行文字性的总结、分析、描述和归纳。不是记流水账和公式定理的堆砌，请全文系统深度核查！ 系统检查整个论文的参考文献标记是否在正确的地方，最紧密的地方标记好。 整个论文感觉是方法的堆砌，算法流程的组合，或则说有点记流水账的感觉。请从算法设计和算法分析的角度，给出每一步算法设计的理由和逻辑原因，与前前后后的关联和链接，然后对整个算法的两大模块进行逻辑分析、特征与特性总结。最后，对整个算法进行总结分析。这个步骤非常重要，保证整个论文的可读性和逻辑完整性。 请进一步polish论文的表达和用词，理论里面还有大量的缩写和简称让人看不懂！避免晦涩难懂、思维的跳跃，让科研小白、科研新手也能读懂，切忌用一些生僻词汇、简称或审计用词、实验过程为了方便记录的用词、拼凑的痕迹等等。特别是，清理偏内部记录式、晦涩或跳跃的词、缩写和简称。 论文里面只需要描述当前最新的结果状态和结果分析即可，不需要把之前的旧结果和旧结果分析，以及中间过程和改进过程记录出来，论文当中还有很多现在是很多过程痕迹。 在从头到尾对此论文进行手术式地扫描，保证文献、公式编号，图表的编号以及在正文当中被正确引用，所有出现的数学符号都要有相应的意思解释，保证每个数学符号只对应一种涵义，一个符号只能表达一个意思；一个涵义只能用唯一的数学符号表示。 论文中所有的简称第一次出现的时候请先给出全称+简称，后面只要简称来表示就可以了。 仔细核对所有参考文献的正确性以及在文献列表当中格式的正确性，以及放在论文正文被引用的地方的正确性，是否被正确评述和引用了？请认真分析、总结。这个特别重要，不要把不相关的文献放进来，或相关的文献放到错误的引用地方。请深度思考，总结分析，然后放到论文正文当中正确的位置。","ISSN 0030-364X, EISSN 1526-5463 || Robust Candidate MaxWeight Certificates for || Vol. 00, No. 0, Xxxxx 0000, pp. 000–000","(479.89, 103.53, 503.89, 127.53)"
"2","1","Highlight","Liang","","External rows audit the action family; unknown states receive zero theorem service until profiled.","(309.34, 196.93, 529.86, 204.97)"
"2","2","Text","Liang","这种小灰字体都要清楚掉，没有什么信息量。全文所有图片系统清理！","External rows audit the action family; unknown states receive zero theorem service until profiled.","(537.89, 192.05, 561.89, 216.05)"
"2","3","Highlight","Liang","","Additive constants set the finite-set threshold; slope losses set eta.","(343.17, 311.8, 495.96, 319.83)"
"2","4","Text","Liang","清理干净！","Additive constants set the finite-set threshold; slope losses set eta.","(526.7, 299.8, 550.7, 323.8)"
"2","5","Text","Liang","整个图片不要花里胡哨。OR论文比较朴实，清晰明了即可。你整个图片很重要，让人一看就知道你在做什么问题，需要更加紧凑，严密、清晰。主线故事要通过这个图一目了然。 目前这个图有点流水账的感觉！","Additive constants set the finite-set threshold; slope losses set eta.","(83.85, 334.73, 107.85, 358.73)"
"4","1","Text","Liang","这个表质量太低啦。 绝对通不过，成片的文字堆砌，像个杂乱无章的报告，项目报告。 表格的目的就是让比较复杂的内容及其对比更加简洁清晰，你这里反而更加复杂勒。需要精简、清晰、明了。我估计你这里很多山寨的表达。","Short claim matrix for scope, evidence, and non-claims. || Article submitted to Operations Research || Table 1","(523.42, 66.22, 547.42, 90.22)"
"5","1","Text","Liang","每个符号单独成行， 每个符号要单独介绍，不要挤到一行。 要清晰明了，最好一个符号一行，不要换行。","slot, class-𝑖backlog, and queue vector || finite set of job classes and a class index || arrival mean vector and feasible service vector","(506.73, 116.95, 530.73, 140.95)"
"7","1","Text","Liang","搞成一行，有的是空间，为啥换行！ 全文系统修改！","(8) || 𝑡 || 𝑎∈Acand","(438.65, 205.31, 462.65, 229.31)"
"7","2","Text","Liang","搞成一行，有的是空间，为啥换行！ 全文系统修改！","𝑎∈Acand || 𝑡 || 𝑡(𝑎) −𝐾𝑡(𝑎) −𝐺𝑡(𝑎)","(436.36, 312.65, 460.36, 336.65)"
"8","1","Text","Liang","问题与Table 1一样的。 杂乱无章，看着头晕，不清晰。","confidence bound (LCB) loss 𝜖est. || Bounded penalty (𝑃0, 𝛽) and || 𝑡(𝑎)𝜖est ∥𝑞∥1.","(546.33, 187.96, 570.33, 211.96)"
"8","2","Text","Liang","搞成一行！","≤𝛼0 + 𝛼1 ∥𝑄(𝑡)∥1 . || (14) || 𝑡(𝑎𝑡) −𝑃𝑡(𝑎𝑡)","(447.16, 674.62, 471.16, 698.62)"
"9","1","Text","Liang","搞成一行！类似问题全文系统全部修改！","(20) || 𝑡(𝑎) || 𝑞⊤𝜇L","(478.25, 549.27, 502.25, 573.27)"
"9","2","Text","Liang","问题同上","(21) || +  𝛿−𝜖cand −𝜖est −𝛽−𝛼1 ||   ∥𝑄∥1","(448.8, 684.76, 472.8, 708.76)"
"10","1","Text","Liang","问题同上","(27) || E[Δ𝑉(𝑡) | 𝑄(𝑡) = 𝑄] ≤𝐵+ 𝑃0 + 𝛼0 || −𝜂∥𝑄∥1 .","(410.84, 575.45, 434.84, 599.45)"
"10","2","Text","Liang","问题同上","(25) || ≤𝑞2 + 𝑠2 + 𝑎2 + 2𝑞(𝑎−𝑠). || ([𝑞−𝑠]+ + 𝑎)2 ≤([𝑞−𝑠]+)2 + 𝑎2 + 2𝑎[𝑞−𝑠]+","(449.45, 406.91, 473.45, 430.91)"
"10","3","Text","Liang","问题同上","(24) || 𝑖) + 𝑄⊤𝐴−𝑄⊤𝑆. || ∑︁","(420.33, 307.42, 444.33, 331.42)"
"10","4","Text","Liang","问题同上","(23) || −𝛼0 −𝛼1 ∥𝑄∥1 . || 𝑡(𝑎𝑡) −𝑃𝑡(𝑎𝑡) ≥𝑀(𝑄) −𝑃0 −𝛽∥𝑄∥1","(439.96, 190.25, 463.96, 214.25)"
"10","5","Text","Liang","问题同上","(22) || 𝑡 || 𝑎∈Acand","(443.89, 113.34, 467.89, 137.34)"
"11","1","Text","Liang","问题同上！","(31) || −𝜂∥𝑄∥1 . || E[Δ𝑉(𝑡) | 𝑄(𝑡) = 𝑄] ≤𝐵+ 𝑃0 + 𝛼0","(428.84, 303.16, 452.84, 327.16)"
"11","2","Text","Liang","问题同上","𝐷(𝑄) ≤𝑃0 + 𝛼0 || (30) ||   ∥𝑄∥1 .","(420.33, 207.93, 444.33, 231.93)"
